#node	date	numeric date
KR105251_Kailahun_2014-07-19	2014-07-19	2014.547570
NODE_0000320	2014-06-08	2014.435391
KR105262_Unk_2014-08-01	2014-08-01	2014.583162
NODE_0000290	2014-06-08	2014.437968
KM233061_Kailahun_2014-06-10	2014-06-10	2014.440794
NODE_0000291	2014-06-10	2014.440990
KR105260_Bo_2014-07-22	2014-07-22	2014.555784
NODE_0000292	2014-06-11	2014.443775
NODE_0000029	2014-08-05	2014.594431
KR653252_PortLoko_2014-08-20	2014-08-20	2014.635181
KR105275_Unk_2014-08-10	2014-08-10	2014.607803
KR105294_Kenema_2014-08-16	2014-08-16	2014.624230
NODE_0000293	2014-06-12	2014.446554
KR105270_Unk_2014-08-05	2014-08-05	2014.594114
NODE_0000294	2014-06-13	2014.449314
NODE_0000023	2014-08-13	2014.616016
KR105282_Tonkolili_2014-08-13	2014-08-13	2014.616016
KR105285_Kenema_2014-08-14	2014-08-14	2014.618754
NODE_0000295	2014-06-14	2014.452033
KR105290_Unk_2014-08-15	2014-08-15	2014.621492
NODE_0000296	2014-06-15	2014.454646
NODE_0000297	2014-06-17	2014.460122
NODE_0000298	2014-06-18	2014.462697
KM233115_Kailahun_2014-06-18	2014-06-18	2014.462697
KM233112_Kenema_2014-06-18	2014-06-18	2014.462697
NODE_0000299	2014-06-18	2014.462697
KM233110_Kailahun_2014-06-18	2014-06-18	2014.462697
KR105202_Kenema_2014-06-18	2014-06-18	2014.462697
NODE_0000300	2014-06-16	2014.457221
KM233098_Kailahun_2014-06-16	2014-06-16	2014.457221
NODE_0000301	2014-06-17	2014.459959
KM233104_Kailahun_2014-06-17	2014-06-17	2014.459959
NODE_0000302	2014-06-19	2014.465435
KR105205_Kenema_2014-06-19	2014-06-19	2014.465435
NODE_0000303	2014-07-03	2014.505423
KR105253_Bo_2014-07-20	2014-07-20	2014.550308
NODE_0000304	2014-07-10	2014.523185
NODE_0000050	2014-07-31	2014.582950
KR105303_Unk_2014-08-25	2014-08-25	2014.648871
NODE_0000051	2014-08-19	2014.635024
KR653227_Bombali_2014-08-26	2014-08-26	2014.651608
KR105302_Unk_2014-08-25	2014-08-25	2014.648871
NODE_0000305	2014-07-11	2014.525667
KR105228_Kenema_2014-07-11	2014-07-11	2014.525667
NODE_0000306	2014-07-15	2014.536619
KR105259_Kenema_2014-08-05	2014-08-05	2014.594114
KR105240_Kenema_2014-07-15	2014-07-15	2014.536619
NODE_0000321	2014-05-14	2014.368895
KM233053_Kailahun_2014-06-05	2014-06-05	2014.427105
NODE_0000322	2014-05-15	2014.371879
KR105209_Unk_2014-06-24	2014-06-24	2014.479124
NODE_0000323	2014-05-16	2014.374705
KM233050_Kailahun_2014-06-09	2014-06-09	2014.438056
NODE_0000324	2014-05-17	2014.377583
KM233058_Kailahun_2014-06-10	2014-06-10	2014.440794
NODE_0000325	2014-05-18	2014.380358
NODE_0000059	2014-06-14	2014.451908
NODE_0000222	2014-06-15	2014.454483
KM233095_Kailahun_2014-06-15	2014-06-15	2014.454483
KM233096_Kailahun_2014-06-15	2014-06-15	2014.454483
NODE_0000223	2014-06-15	2014.454483
KM233090_Kailahun_2014-06-15	2014-06-15	2014.454483
KM233086_Kailahun_2014-06-15	2014-06-15	2014.454483
NODE_0000326	2014-05-19	2014.383111
KM233093_Kailahun_2014-06-15	2014-06-15	2014.454483
NODE_0000327	2014-05-20	2014.385974
NODE_0000082	2014-06-16	2014.457221
KM233100_Kailahun_2014-06-16	2014-06-16	2014.457221
KM233101_Kailahun_2014-06-16	2014-06-16	2014.457221
NODE_0000240	2014-05-22	2014.388944
KR105241_Kenema_2014-07-09	2014-07-09	2014.520192
NODE_0000241	2014-05-23	2014.391742
NODE_0000065	2014-06-18	2014.463700
KR105248_Bo_2014-07-18	2014-07-18	2014.544832
KR105254_Kailahun_2014-07-20	2014-07-20	2014.550308
NODE_0000242	2014-05-24	2014.394553
NODE_0000075	2014-06-20	2014.469635
KR105218_Bo_2014-07-08	2014-07-08	2014.517454
KR653241_Pujehun_2014-08-24	2014-08-24	2014.646133
KR105249_Kenema_2014-07-19	2014-07-19	2014.547570
NODE_0000243	2014-05-25	2014.397393
KR105220_Kailahun_2014-07-11	2014-07-11	2014.525667
NODE_0000244	2014-05-26	2014.400307
NODE_0000069	2014-07-08	2014.518438
KR105292_WesternArea_2014-08-15	2014-08-15	2014.621492
NODE_0000245	2014-07-16	2014.539357
KR105293_Kenema_2014-08-16	2014-08-16	2014.624230
KR105244_Kenema_2014-07-16	2014-07-16	2014.539357
NODE_0000246	2014-05-27	2014.403151
NODE_0000079	2014-08-06	2014.597276
KR105301_Unk_2014-08-22	2014-08-22	2014.640657
MH607893_WAU_2014-08-26	2014-08-26	2014.651608
MH607895_WAU_2014-08-26	2014-08-26	2014.651608
NODE_0000247	2014-05-28	2014.405940
KR105208_Kailahun_2014-06-22	2014-06-22	2014.473648
NODE_0000248	2014-05-29	2014.408426
KM233049_Kailahun_2014-05-31	2014-05-31	2014.413415
NODE_0000249	2014-05-30	2014.411148
NODE_0000087	2014-06-29	2014.494996
KR105215_Kenema_2014-07-06	2014-07-06	2014.511978
KR105257_Kenema_2014-07-21	2014-07-21	2014.553046
NODE_0000250	2014-05-31	2014.413772
NODE_0000251	2014-06-02	2014.419054
NODE_0000252	2014-06-03	2014.421629
KM233040_Kailahun_2014-06-03	2014-06-03	2014.421629
KM233039_Kailahun_2014-06-03	2014-06-03	2014.421629
NODE_0000253	2014-06-03	2014.421629
KM233038_Kailahun_2014-06-03	2014-06-03	2014.421629
KM233041_Kailahun_2014-06-03	2014-06-03	2014.421629
NODE_0000254	2014-06-01	2014.416336
NODE_0000255	2014-06-02	2014.418891
KM233036_Kailahun_2014-06-02	2014-06-02	2014.418891
NODE_0000256	2014-06-04	2014.424367
KM233045_Kailahun_2014-06-04	2014-06-04	2014.424367
KM233116_Kambia_2014-06-04	2014-06-04	2014.424367
